,name,id,postalCode,state,country,cc,lat,lng,categories,primary_category_name,primary_category_id
0,Nice,4fb295f5e4b04fafbcabc55e,06000,Provence-Alpes-Côte d'Azur,France,FR,43.70157484580676,7.268486022949218,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
1,Cannes,4c71b77d8efc3704554a117d,06400,Provence-Alpes-Côte d'Azur,France,FR,43.551845113516215,7.013483047485351,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
2,Monaco,4bf9898f508c0f4755653f31,,,Monaco,MC,43.731693104226906,7.419805526733398,"[{'id': '530e33ccbcbc57f1066bbff7', 'name': 'Country', 'pluralName': 'Countries', 'shortName': 'Country', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",Country,530e33ccbcbc57f1066bbff7
3,Antibes,4c4b39bf42b4d13ac083627e,06600,Provence-Alpes-Côte d'Azur,France,FR,43.5812285376747,7.124015944303579,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
4,Mouans Sartoux,4bf828885317a593084fff7e,06370,Provence-Alpes-Côte d'Azur,France,FR,43.62010613428608,6.970877275572449,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
5,Menton,4fd63051e4b065401bb5a880,06500,Provence-Alpes-Côte d'Azur,France,FR,43.77512507671705,7.505511996404214,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
6,Roquefort les Pins,4c657313e1da1b8d312598c3,06330,Provence-Alpes-Côte d'Azur,France,FR,43.665824385185,7.0480404377917525,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
7,Biot,4c7cf0bdf56a37040f2f0946,06410,PACA,France,FR,43.62423522660803,7.102491259571835,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
8,Ventimiglia,4fe9cf4de4b0e88e20df1bf5,18039,Liguria,Italia,IT,43.79165960792941,7.603660225868224,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
9,Saint-Raphaël,4f8170d3e4b01e69d7e2ea69,83700,Provence-Alpes-Côte d'Azur,France,FR,43.42426431875307,6.767731379922497,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
10,Cap d'Ail,5035f738e4b0aab52c00cea1,,,France,FR,43.722699461246265,7.395185465591816,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
11,Valbonne,535a58cd498e3c0593ea7dc3,,Provence-Alpes-Côte d'Azur,France,FR,43.64149116068882,7.007246049637956,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
12,La Turbie,4bc05ecbf8219c740b79b110,06320,PACA,France,FR,43.74525643165917,7.400279239325341,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
13,Grasse,502381f1e4b0119b308bac1d,06130,Provence-Alpes-Côte d'Azur,France,FR,43.657485899663754,6.9230544660577955,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
14,Le Cannet,4b7803a9f964a52020b22ee3,06130,,France,FR,43.572937145484,7.016309880411803,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
15,Cagnes-sur-Mer,4fa00b79e4b0e4be239c9085,06800,PACA,France,FR,43.65995053582001,7.151222136207778,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
16,Garbejaire,53615aef498eac36d1ed5043,,Provence-Alpes-Côte d'Azur,France,FR,43.61786589578053,7.0588009852298645,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
17,Villefranche-sur-Mer,51692b8fe4b0c63547bc9607,06230,PACA,France,FR,43.70358825578082,7.311696541772303,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
