4sq_category_name,4sq_id,color_code
Tech Startup,4bf58dd8d48988d125941735,#32CD32
Coworking Space,4bf58dd8d48988d174941735,#ADFF2F
Insurance Office,58daa1558bbb0b01f18ec1f1,#FFD700
Recruiting Agency,52f2ab2ebcbc57f1066b8b57,#FFFFE0
Financial or Legal Service,503287a291d4c4b30a586d65,#FFE4B5
Lawyer,52f2ab2ebcbc57f1066b8b3f,#FFFF00
Laboratory,5744ccdfe4b0c0459246b4d6,#87CEFA
College & University,4d4b7105d754a06372d81259,#00BFFF
Adult Education Center,56aa371ce4b08b9a8d573570,#6495ED
Research Station,58daa1558bbb0b01f18ec1b2,#4169E1
Library,4bf58dd8d48988d12f941735,#000080
Science Museum,4bf58dd8d48988d191941735,#EE82EE
Art Museum,4bf58dd8d48988d18f941735,#8A2BE2
History Museum,4bf58dd8d48988d190941735,#9932CC
Planetarium,4bf58dd8d48988d192941735,#800080
Events,4d4b7105d754a06373d81259,#FF69B4
Business Center,56aa371be4b08b9a8d573517,#FF6347
Advertising Agency,52e81612bcbc57f1066b7a3d,#DC143C
Business Service,5453de49498eade8af355881,#FFA500
Design Studio,4bf58dd8d48988d1f4941735,#FFA07A
Factory,4eb1bea83b7b6f98df247e06,#808080
Industrial Estate,56aa371be4b08b9a8d5734d7,#C0C0C0
Bank,4bf58dd8d48988d10a951735,#008000
Trade Fair,5bae9231bedf3950379f89c3,#AFEEEE
Government Building,4bf58dd8d48988d126941735,#F8F8FF